measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Wolverhampton,Both,All Ages,Years,2017,68.15572636441814,70.99454191360138,64.65023537554288
HALE (Healthy life expectancy),Birmingham,Both,All Ages,Years,2017,68.50963019541722,71.44585260249666,65.20884240686122
HALE (Healthy life expectancy),Sandwell,Both,All Ages,Years,2017,68.04651565276441,70.9634287927601,64.78381989513285
HALE (Healthy life expectancy),Bedford,Both,All Ages,Years,2017,69.58243152790182,72.60388437072731,66.3377739702258
HALE (Healthy life expectancy),Central Bedfordshire,Both,All Ages,Years,2017,70.9617841099205,73.8867848566422,67.71727759746051
HALE (Healthy life expectancy),Suffolk,Both,All Ages,Years,2017,70.0267837956378,73.0001117977811,66.621053599219
HALE (Healthy life expectancy),Hertfordshire,Both,All Ages,Years,2017,70.72044125102455,73.70500830078551,67.23695460643481
HALE (Healthy life expectancy),Essex,Both,All Ages,Years,2017,69.69187256241439,72.66106724664822,66.35881180654562
HALE (Healthy life expectancy),Cambridgeshire,Both,All Ages,Years,2017,70.54352391152914,73.47575210581648,67.00614356437615
HALE (Healthy life expectancy),Thurrock,Both,All Ages,Years,2017,69.88161166490704,72.84300897498059,66.5420838243889
HALE (Healthy life expectancy),Norfolk,Both,All Ages,Years,2017,69.41320925830074,72.35723592968057,66.06191305664457
HALE (Healthy life expectancy),Southend-on-Sea,Both,All Ages,Years,2017,69.14462065190911,72.08636630266496,65.89236474557647
HALE (Healthy life expectancy),Peterborough,Both,All Ages,Years,2017,69.07235953186694,72.02310162797474,65.78794761889326
HALE (Healthy life expectancy),Luton,Both,All Ages,Years,2017,69.70303365458172,72.71692571070939,66.41824671133014
HALE (Healthy life expectancy),Richmond upon Thames,Both,All Ages,Years,2017,71.37622606531818,74.49237341362283,67.81991568540306
HALE (Healthy life expectancy),Kensington and Chelsea,Both,All Ages,Years,2017,71.51674642646759,74.72521132866525,67.95297155997164
HALE (Healthy life expectancy),Barnet,Both,All Ages,Years,2017,70.77083215193217,73.75303589820935,67.29256660773953
HALE (Healthy life expectancy),Westminster,Both,All Ages,Years,2017,70.74160004553077,73.90656857290324,67.19635262900323
HALE (Healthy life expectancy),Bromley,Both,All Ages,Years,2017,70.3949788834694,73.34947007639582,66.97909812102945
HALE (Healthy life expectancy),Bexley,Both,All Ages,Years,2017,69.99862132400351,73.04435291293382,66.55638460057763
HALE (Healthy life expectancy),Redbridge,Both,All Ages,Years,2017,70.40965468978011,73.41712331118383,67.02214361668882
HALE (Healthy life expectancy),Merton,Both,All Ages,Years,2017,70.45130839980195,73.53612195000369,67.03645363998473
HALE (Healthy life expectancy),Brent,Both,All Ages,Years,2017,70.61162592802462,73.67959756941165,67.15208441879027
HALE (Healthy life expectancy),Darlington,Both,All Ages,Years,2017,68.48171758779353,71.37449224181965,65.16686628828737
HALE (Healthy life expectancy),Northumberland,Both,All Ages,Years,2017,68.8399512257904,71.74066396767864,65.40986402531328
HALE (Healthy life expectancy),Stockton-on-Tees,Both,All Ages,Years,2017,68.66367406628363,71.62618686346366,65.30866846819221
HALE (Healthy life expectancy),Newcastle upon Tyne,Both,All Ages,Years,2017,67.96955345237278,70.84923811187154,64.4920776595814
HALE (Healthy life expectancy),North Tyneside,Both,All Ages,Years,2017,68.41101442871685,71.54608033257445,65.21185514337857
HALE (Healthy life expectancy),Redcar and Cleveland,Both,All Ages,Years,2017,68.13582354724608,70.95185535783115,64.8419064090897
